claim_id,doc_id,doc_title,doc_date,doc_url,category,matched_term,surface_form,sentence,context_before,context_after,category_correct,is_securitising,securitisation_type,referent_object,threat_actor,extraordinary_measure,confidence,coder_notes
2945,49293ef4ff5e,За цей тиждень ми додали Україні нових домовленостей щодо зброї – звернення Президента,2024-10-12,https://www.president.gov.ua/news/za-cej-tizhden-mi-dodali-ukrayini-novih-domovlenostej-shodo-93817,ontological_security,духовний незалежність,духовну незалежність,"Дуже важливо , щоб більше представників церков і релігійних спільнот , усі , хто працює на духовну незалежність України , долучались до військової служби Україні , були ближче до хлопців на передовій – передусім у бойових бригадах , саме там , де найбільш потрібно .","Духовні отці з різних конфесій , які служать , щоб наші воїни мали духовну підтримку та правильну пораду , світлу надію .","Я дякую кожному військовому капелану , який служить саме так – з нашими українськими воїнами .",yes,yes,ontological,nation,Russia,none,medium,"Those working for spiritual independence of Ukraine should join military service, be closer to soldiers on the front. Links spiritual independence to military effort."
2973,4aaca8be34af,Обговорили з партнерами роботу щодо ППО – нових систем для України; готуємо посилення – звернення Президента,2024-08-20,https://www.president.gov.ua/news/obgovorili-z-partnerami-robotu-shodo-ppo-novih-sistem-dlya-u-92713,ontological_security,духовний,духовної,Ухвалено закон щодо нашої духовної незалежності .,Хочу сьогодні відзначити роботу Верховної Ради України .,"Це те , про що ми говорили з членами Ради церков і релігійних організацій .",yes,yes,ontological,nation,Moscow_Patriarchate,ban,high,Law on spiritual independence adopted. The culmination of the legislative securitisation process - Law 3894-IX banning Russia-affiliated religious orgs.
2977,4aaca8be34af,Обговорили з партнерами роботу щодо ППО – нових систем для України; готуємо посилення – звернення Президента,2024-08-20,https://www.president.gov.ua/news/obgovorili-z-partnerami-robotu-shodo-ppo-novih-sistem-dlya-u-92713,ontological_security,духовний незалежність,духовної незалежності,Ухвалено закон щодо нашої духовної незалежності .,Хочу сьогодні відзначити роботу Верховної Ради України .,"Це те , про що ми говорили з членами Ради церков і релігійних організацій .",yes,yes,ontological,nation,Moscow_Patriarchate,ban,high,Law on spiritual independence adopted. The culmination of the legislative securitisation process - Law 3894-IX banning Russia-affiliated religious orgs.
4418,68e5fe347a9e,"Дуже важливо, що у Києво-Печерській лаврі сьогодні прозвучала і ще звучатиме щира молитва за Україну – звернення Президента Володимира Зеленського",2023-01-07,https://www.president.gov.ua/news/duzhe-vazhlivo-sho-u-kiyevo-pecherskij-lavri-sogodni-prozvuc-80277,ontological_security,духовний,духовної,"Ще раз вітаю з Різдвом Христовим усіх , хто святкує сьогодні , у цей день , який уже став історичним для України , для духовної незалежності нашого народу .","Бажаю здоровʼя , шановні українці !","Я був радий сьогодні бачити , скільки людей , скільки наших воїнів прийшли на службу Божу у храм Києво - Печерської лаври – у те святе місце , яке є одним із витоків української культурної традиції .",yes,yes,ontological,nation,Moscow_Patriarchate,none,high,Christmas at Lavra framed as historic day for Ukraine's spiritual independence. OCU service at formerly UOC-MP-held site.
4419,68e5fe347a9e,"Дуже важливо, що у Києво-Печерській лаврі сьогодні прозвучала і ще звучатиме щира молитва за Україну – звернення Президента Володимира Зеленського",2023-01-07,https://www.president.gov.ua/news/duzhe-vazhlivo-sho-u-kiyevo-pecherskij-lavri-sogodni-prozvuc-80277,decolonisation,незалежність,незалежності,"Ще раз вітаю з Різдвом Христовим усіх , хто святкує сьогодні , у цей день , який уже став історичним для України , для духовної незалежності нашого народу .","Бажаю здоровʼя , шановні українці !","Я був радий сьогодні бачити , скільки людей , скільки наших воїнів прийшли на службу Божу у храм Києво - Печерської лаври – у те святе місце , яке є одним із витоків української культурної традиції .",yes,yes,ontological,nation,Moscow_Patriarchate,none,high,Christmas at Lavra framed as historic day for Ukraine's spiritual independence. OCU service at formerly UOC-MP-held site.
4420,68e5fe347a9e,"Дуже важливо, що у Києво-Печерській лаврі сьогодні прозвучала і ще звучатиме щира молитва за Україну – звернення Президента Володимира Зеленського",2023-01-07,https://www.president.gov.ua/news/duzhe-vazhlivo-sho-u-kiyevo-pecherskij-lavri-sogodni-prozvuc-80277,church_actors,лавра,лаври,"Я був радий сьогодні бачити , скільки людей , скільки наших воїнів прийшли на службу Божу у храм Києво - Печерської лаври – у те святе місце , яке є одним із витоків української культурної традиції .","Ще раз вітаю з Різдвом Христовим усіх , хто святкує сьогодні , у цей день , який уже став історичним для України , для духовної незалежності нашого народу .","Дуже важливо , що у лаврі сьогодні прозвучала і ще звучатиме щира молитва за Україну .",yes,yes,ontological,church_independence,Moscow_Patriarchate,property_transfer,high,President celebrates OCU service at Kyiv-Pechersk Lavra - site transferred from UOC-MP. Reclaiming spiritual space as identity assertion.
4423,68e5fe347a9e,"Дуже важливо, що у Києво-Печерській лаврі сьогодні прозвучала і ще звучатиме щира молитва за Україну – звернення Президента Володимира Зеленського",2023-01-07,https://www.president.gov.ua/news/duzhe-vazhlivo-sho-u-kiyevo-pecherskij-lavri-sogodni-prozvuc-80277,material_security,санкція,санкцій,Сьогодні є перший такий санкційний список – будуть наступні рішення щодо санкцій проти таких осіб .,"По -друге , є проміжний підсумок у роботі щодо багатьох громадян Росії та повʼязаних з нею осіб , які виправдовують війну , допомагають її вести чи оспівують державу - терориста .","Усі , чий голос звучить в унісон із гуркотом російської артилерії , будуть ізольовані від цивілізованого світу .",yes,yes,material,state,UOC-MP,sanctions,medium,"First sanctions list announced - likely targeting UOC-MP-affiliated individuals, though specifics not named in this sentence."
4428,68e5fe347a9e,"Дуже важливо, що у Києво-Печерській лаврі сьогодні прозвучала і ще звучатиме щира молитва за Україну – звернення Президента Володимира Зеленського",2023-01-07,https://www.president.gov.ua/news/duzhe-vazhlivo-sho-u-kiyevo-pecherskij-lavri-sogodni-prozvuc-80277,ontological_security,духовний незалежність,духовної незалежності,"Ще раз вітаю з Різдвом Христовим усіх , хто святкує сьогодні , у цей день , який уже став історичним для України , для духовної незалежності нашого народу .","Бажаю здоровʼя , шановні українці !","Я був радий сьогодні бачити , скільки людей , скільки наших воїнів прийшли на службу Божу у храм Києво - Печерської лаври – у те святе місце , яке є одним із витоків української культурної традиції .",yes,yes,ontological,nation,Moscow_Patriarchate,none,high,Christmas at Lavra framed as historic day for Ukraine's spiritual independence. OCU service at formerly UOC-MP-held site.
4859,72c6ae74b540,Ми гарантуємо Україні духовну незалежність – звернення Президента Володимира Зеленського,2022-12-01,https://www.president.gov.ua/news/mi-garantuyemo-ukrayini-duhovnu-nezalezhnist-zvernennya-prez-79577,ontological_security,духовний,духовну,"Забезпечимо , зокрема , духовну незалежність .",Ми вже вибороли це й забезпечимо для нашої держави всю повноту незалежності .,Ми ніколи й нікому не дозволимо будувати імперію всередині української душі .,yes,yes,ontological,nation,Moscow_Patriarchate,none,high,Declarative framing: Ukraine will guarantee spiritual independence. Implies Moscow Patriarchate connection threatens spiritual sovereignty.
4860,72c6ae74b540,Ми гарантуємо Україні духовну незалежність – звернення Президента Володимира Зеленського,2022-12-01,https://www.president.gov.ua/news/mi-garantuyemo-ukrayini-duhovnu-nezalezhnist-zvernennya-prez-79577,decolonisation,незалежність,незалежність,"Забезпечимо , зокрема , духовну незалежність .",Ми вже вибороли це й забезпечимо для нашої держави всю повноту незалежності .,Ми ніколи й нікому не дозволимо будувати імперію всередині української душі .,yes,yes,ontological,nation,Moscow_Patriarchate,none,high,Declarative framing: Ukraine will guarantee spiritual independence. Implies Moscow Patriarchate connection threatens spiritual sovereignty.
